dataset,n,dim,K,avg_cohesion,avg_separation,ratio
coco-i2i-512-angular_train_reduced,113287,100,8,0.007093,1.130850,159.432831
fashion-mnist-784-euclidean_train_reduced,60000,100,8,19276.056641,1775.693848,0.092119
gist-960-euclidean_train_reduced,1000000,100,8,0.019718,3.035676,153.950668
glove-25-angular_train_reduced,1183514,25,8,0.025662,0.486701,18.966114
glove-50-angular_train_reduced,1183514,50,8,0.014690,0.447309,30.450094
glove-100-angular_train_reduced,1183514,100,8,0.008217,0.471388,57.369392
glove-200-angular_train_reduced,1183514,100,8,0.009154,1.115364,121.843109
lastfm-64-dot_train_reduced,292385,65,8,0.001017,0.253657,249.410400
mnist-784-euclidean_train_reduced,60000,100,8,22853.832031,1440.201904,0.063018
nytimes-256-angular_train_reduced,290000,100,8,0.009572,1.107778,115.727242
sift-128-euclidean_train_reduced,1000000,100,8,933.095337,343.124237,0.367727
coco-i2i-512-angular_train_reduced,113287,100,16,0.006502,1.056114,162.425781
fashion-mnist-784-euclidean_train_reduced,60000,100,16,17497.853516,1953.264893,0.111629
gist-960-euclidean_train_reduced,1000000,100,16,0.017520,3.333662,190.275620
glove-25-angular_train_reduced,1183514,25,16,0.023320,0.583279,25.011675
glove-50-angular_train_reduced,1183514,50,16,0.014356,0.561289,39.099209
glove-100-angular_train_reduced,1183514,100,16,0.007732,0.505135,65.330925
glove-200-angular_train_reduced,1183514,100,16,0.008919,1.048796,117.587585
lastfm-64-dot_train_reduced,292385,65,16,0.001002,0.171615,171.233810
mnist-784-euclidean_train_reduced,60000,100,16,23036.210938,1462.472046,0.063486
nytimes-256-angular_train_reduced,290000,100,16,0.008573,1.051491,122.656563
sift-128-euclidean_train_reduced,1000000,100,16,822.552429,364.287476,0.442874
coco-i2i-512-angular_train_reduced,113287,100,32,0.006065,1.024634,168.946564
fashion-mnist-784-euclidean_train_reduced,60000,100,32,14548.335938,2022.356201,0.139009
gist-960-euclidean_train_reduced,1000000,100,32,0.016652,3.554531,213.455856
glove-25-angular_train_reduced,1183514,25,32,0.022424,0.650482,29.007879
