dataset,n,d,n*d,K,t_query,t_edge,query_time_ms,accuracy
glove-50-angular,10000,50,500000,256,0.800000,0.500000,960772.732,0.347521
glove-50-angular,10000,50,500000,256,0.800000,0.550000,940316.089,0.347521
glove-50-angular,10000,50,500000,256,0.800000,0.600000,918654.686,0.347521
glove-50-angular,10000,50,500000,512,0.800000,0.500000,729457.052,0.319044
glove-50-angular,10000,50,500000,512,0.800000,0.550000,716162.106,0.318142
glove-50-angular,10000,50,500000,512,0.800000,0.600000,710867.293,0.318142
glove-50-angular,10000,50,500000,1024,0.800000,0.500000,718613.837,0.289797
glove-50-angular,10000,50,500000,1024,0.800000,0.550000,541859.514,0.281024
glove-50-angular,10000,50,500000,1024,0.800000,0.600000,540864.571,0.281024
glove-100-angular,10000,100,1000000,256,0.800000,0.500000,1836714.072,0.354071
glove-100-angular,10000,100,1000000,256,0.800000,0.550000,1822407.994,0.354071
glove-100-angular,10000,100,1000000,256,0.800000,0.600000,1788947.899,0.354071
glove-100-angular,10000,100,1000000,512,0.800000,0.500000,1507372.482,0.318241
glove-100-angular,10000,100,1000000,512,0.800000,0.550000,1483076.326,0.317473
glove-100-angular,10000,100,1000000,512,0.800000,0.600000,1476538.635,0.317473
glove-100-angular,10000,100,1000000,1024,0.800000,0.550000,1156536.093,0.279383
glove-100-angular,10000,100,1000000,1024,0.800000,0.600000,1154810.359,0.279383
glove-200-angular,10000,100,1000000,256,0.800000,0.500000,1645368.949,0.218242
glove-200-angular,10000,100,1000000,256,0.800000,0.550000,1630743.401,0.218242
glove-200-angular,10000,100,1000000,256,0.800000,0.600000,1619695.023,0.218242
glove-200-angular,10000,100,1000000,512,0.800000,0.500000,1400518.166,0.204697
glove-200-angular,10000,100,1000000,512,0.800000,0.550000,1381575.188,0.204425
glove-200-angular,10000,100,1000000,512,0.800000,0.600000,1376678.819,0.204425
glove-200-angular,10000,100,1000000,1024,0.800000,0.550000,1142752.027,0.188527
glove-200-angular,10000,100,1000000,1024,0.800000,0.600000,1141706.570,0.188527
