dataset,n,dim,K,iterations,avg_loglike,time_sec
coco-i2i-512-angular_train_reduced,113287,100,8,50,26.277559,11.449
glove-25-angular_train_reduced,1183514,25,8,50,6.368923,12.082
glove-50-angular_train_reduced,1183514,50,8,50,26.404999,15.002
glove-100-angular_train_reduced,1183514,100,8,50,26.492077,120.294
glove-200-angular_train_reduced,1183514,100,8,50,23.711260,119.691
lastfm-64-dot_train_reduced,292385,65,8,50,133.424225,5.378
nytimes-256-angular_train_reduced,290000,100,8,50,67.359840,21.544
mnist-784-euclidean_train_reduced,60000,100,8,50,97.981079,6.022
gist-960-euclidean_train_reduced,1000000,100,8,50,63.952129,99.600
fashion-mnist-784-euclidean_train_reduced,60000,100,8,50,113.513275,6.093
sift-128-euclidean_train_reduced,1000000,100,8,50,133.789566,31.640
coco-i2i-512-angular_train_reduced,113287,100,128,50,108.649666,72.115
glove-25-angular_train_reduced,1183514,25,128,50,8.322002,260.478
glove-50-angular_train_reduced,1183514,50,128,50,9.621836,657.265
glove-100-angular_train_reduced,1183514,100,128,50,88.105583,755.903
glove-200-angular_train_reduced,1183514,100,128,50,24.286993,1378.277
lastfm-64-dot_train_reduced,292385,65,128,50,144.881271,45.310
nytimes-256-angular_train_reduced,290000,100,128,50,23.763725,337.634
mnist-784-euclidean_train_reduced,60000,100,128,50,102.188591,70.809
gist-960-euclidean_train_reduced,1000000,100,128,50,67.676231,1172.799
fashion-mnist-784-euclidean_train_reduced,60000,100,128,50,120.151680,71.556
sift-128-euclidean_train_reduced,1000000,100,128,50,131.471603,641.586
coco-i2i-512-angular_train_reduced,113287,100,16,50,26.496807,18.960
glove-25-angular_train_reduced,1183514,25,16,50,7.111655,21.060
glove-50-angular_train_reduced,1183514,50,16,50,9.543739,101.013
glove-100-angular_train_reduced,1183514,100,16,50,26.509731,197.372
glove-200-angular_train_reduced,1183514,100,16,50,24.046499,196.656
lastfm-64-dot_train_reduced,292385,65,16,50,133.556580,8.882
nytimes-256-angular_train_reduced,290000,100,16,50,22.901644,48.299
mnist-784-euclidean_train_reduced,60000,100,16,50,96.695763,10.016
gist-960-euclidean_train_reduced,1000000,100,16,50,46.090675,164.720
fashion-mnist-784-euclidean_train_reduced,60000,100,16,50,115.678291,10.003
sift-128-euclidean_train_reduced,1000000,100,16,50,114.110481,166.614
coco-i2i-512-angular_train_reduced,113287,100,32,50,26.808620,34.636
glove-25-angular_train_reduced,1183514,25,32,50,1.941756,124.711
glove-50-angular_train_reduced,1183514,50,32,50,9.597918,184.595
glove-100-angular_train_reduced,1183514,100,32,50,26.518108,359.512
glove-200-angular_train_reduced,1183514,100,32,50,45.242310,319.777
lastfm-64-dot_train_reduced,292385,65,32,50,133.567108,16.583
nytimes-256-angular_train_reduced,290000,100,32,50,23.716469,88.541
mnist-784-euclidean_train_reduced,60000,100,32,50,99.510605,18.428
gist-960-euclidean_train_reduced,1000000,100,32,50,77.381912,302.010
fashion-mnist-784-euclidean_train_reduced,60000,100,32,50,119.848953,18.349
sift-128-euclidean_train_reduced,1000000,100,32,50,121.693939,280.765
coco-i2i-512-angular_train_reduced,113287,100,64,50,106.464325,35.426
glove-25-angular_train_reduced,1183514,25,64,50,1.960996,232.915
glove-50-angular_train_reduced,1183514,50,64,50,28.100845,228.535
glove-100-angular_train_reduced,1183514,100,64,50,26.522215,682.657
glove-200-angular_train_reduced,1183514,100,64,50,24.245674,681.755
lastfm-64-dot_train_reduced,292385,65,64,50,127.850479,35.996
nytimes-256-angular_train_reduced,290000,100,64,50,23.737928,167.612
mnist-784-euclidean_train_reduced,60000,100,64,50,45.780544,36.271
gist-960-euclidean_train_reduced,1000000,100,64,50,82.180862,576.693
fashion-mnist-784-euclidean_train_reduced,60000,100,64,50,121.803993,34.870
sift-128-euclidean_train_reduced,1000000,100,64,50,115.799667,578.778
