dataset,n,dim,K,iterations,avg_loglike,time_sec
coco-i2i-512-angular_train_reduced,113287,100,128,26,129.172577,42.251
glove-25-angular_train_reduced,1183514,25,128,45,11.452998,210.216
glove-50-angular_train_reduced,1183514,50,128,37,35.843044,301.016
glove-100-angular_train_reduced,1183514,100,128,18,101.711487,328.603
glove-200-angular_train_reduced,1183514,100,128,19,96.128929,342.445
lastfm-64-dot_train_reduced,292385,65,128,5,161.495895,23.869
nytimes-256-angular_train_reduced,290000,100,128,27,94.802040,111.532
mnist-784-euclidean_train_reduced,60000,100,128,22,-605.891235,18.403
gist-960-euclidean_train_reduced,1000000,100,128,27,153.348740,360.727
fashion-mnist-784-euclidean_train_reduced,60000,100,128,32,-579.855408,25.644
sift-128-euclidean_train_reduced,1000000,100,128,14,-449.769043,212.413
coco-i2i-512-angular_train_reduced,113287,100,64,20,125.400444,17.226
glove-25-angular_train_reduced,1183514,25,64,39,11.124381,95.376
glove-50-angular_train_reduced,1183514,50,64,25,35.219963,109.097
glove-100-angular_train_reduced,1183514,100,64,17,100.758011,158.267
glove-200-angular_train_reduced,1183514,100,64,20,95.238167,180.841
lastfm-64-dot_train_reduced,292385,65,64,5,161.518860,11.886
nytimes-256-angular_train_reduced,290000,100,64,24,93.344238,50.996
mnist-784-euclidean_train_reduced,60000,100,64,18,-608.977295,7.866
gist-960-euclidean_train_reduced,1000000,100,64,25,143.421906,166.429
fashion-mnist-784-euclidean_train_reduced,60000,100,64,27,-585.419189,11.061
sift-128-euclidean_train_reduced,1000000,100,64,16,-451.151031,119.066
coco-i2i-512-angular_train_reduced,113287,100,256,29,132.625290,91.283
glove-25-angular_train_reduced,1183514,25,256,55,11.764374,496.260
glove-50-angular_train_reduced,1183514,50,256,40,36.404942,644.018
glove-100-angular_train_reduced,1183514,100,256,25,102.765244,841.050
glove-200-angular_train_reduced,1183514,100,256,26,97.008957,867.792
lastfm-64-dot_train_reduced,292385,65,256,5,161.449356,46.964
nytimes-256-angular_train_reduced,290000,100,256,28,96.197159,226.951
mnist-784-euclidean_train_reduced,60000,100,256,18,-602.866699,31.345
gist-960-euclidean_train_reduced,1000000,100,256,201,162.456055,690.658
fashion-mnist-784-euclidean_train_reduced,60000,100,256,40,-575.122375,62.419
sift-128-euclidean_train_reduced,1000000,100,256,15,-447.973450,447.795
coco-i2i-512-angular_train_reduced,113287,100,32,19,120.050858,8.582
glove-25-angular_train_reduced,1183514,25,32,34,10.840553,44.305
glove-50-angular_train_reduced,1183514,50,32,23,34.671009,53.613
glove-100-angular_train_reduced,1183514,100,32,17,99.810753,82.422
glove-200-angular_train_reduced,1183514,100,32,17,94.377586,83.068
lastfm-64-dot_train_reduced,292385,65,32,5,161.518707,6.095
nytimes-256-angular_train_reduced,290000,100,32,25,92.510979,27.557
mnist-784-euclidean_train_reduced,60000,100,32,13,-613.089966,3.128
gist-960-euclidean_train_reduced,1000000,100,32,20,126.170151,71.089
fashion-mnist-784-euclidean_train_reduced,60000,100,32,25,-590.189148,5.341
sift-128-euclidean_train_reduced,1000000,100,32,16,-452.974121,61.415
coco-i2i-512-angular_train_reduced,113287,100,16,14,116.027817,3.728
glove-25-angular_train_reduced,1183514,25,16,45,10.460986,32.031
glove-50-angular_train_reduced,1183514,50,16,19,34.078796,25.657
glove-100-angular_train_reduced,1183514,100,16,18,98.937378,47.784
glove-200-angular_train_reduced,1183514,100,16,16,93.395493,43.482
lastfm-64-dot_train_reduced,292385,65,16,6,161.515701,3.653
nytimes-256-angular_train_reduced,290000,100,16,21,91.630196,13.134
mnist-784-euclidean_train_reduced,60000,100,16,15,-615.379517,1.894
gist-960-euclidean_train_reduced,1000000,100,16,15,121.215012,30.269
fashion-mnist-784-euclidean_train_reduced,60000,100,16,40,-592.130981,4.385
sift-128-euclidean_train_reduced,1000000,100,16,18,-454.641449,35.961
coco-i2i-512-angular_train_reduced,113287,100,8,16,113.255989,2.446
glove-25-angular_train_reduced,1183514,25,8,20,9.983728,9.592
glove-50-angular_train_reduced,1183514,50,8,21,33.446808,16.789
glove-100-angular_train_reduced,1183514,100,8,20,97.827148,30.403
glove-200-angular_train_reduced,1183514,100,8,21,92.628143,31.696
lastfm-64-dot_train_reduced,292385,65,8,7,161.490112,2.276
nytimes-256-angular_train_reduced,290000,100,8,22,91.038559,8.082
mnist-784-euclidean_train_reduced,60000,100,8,25,-616.648010,1.631
gist-960-euclidean_train_reduced,1000000,100,8,37,114.693047,37.771
fashion-mnist-784-euclidean_train_reduced,60000,100,8,14,-598.308533,1.001
sift-128-euclidean_train_reduced,1000000,100,8,15,-456.005432,17.627
