dataset,M,efConstruction,dimensions,no_of_vectors,recall@100,efSearch,query_time(ms)
coco-i2i-512-angular,8,50,512,113287,0.99,1700,26330
fashion-mnist-784-euclidean,8,50,784,60000,0.99,161,1885
gist-960-euclidean,8,50,960,1000000,0.9487,30000,818461
glove-25-angular,8,50,25,1183514,0.99,1780,24678
glove-50-angular,8,50,50,1183514,0.9177,2000,33602
glove-100-angular,8,50,100,1183514,0.99,
glove-200-angular,8,50,200,1183514,0.99,
lastfm-64-dot,8,50,65,292385,0.99,870,29057
mnist-784-euclidean,8,50,784,60000,0.99,175,2178
nytimes-256-angular,8,50,256,290000,0.99,
sift-128-euclidean,8,50,128,1000000,0.99,1176,13005

coco-i2i-512-angular,8,100,512,113287,0.99,597,5030
fashion-mnist-784-euclidean,8,100,784,60000,0.99,134,1678
gist-960-euclidean,8,100,960,1000000,0.99,
glove-25-angular,8,100,25,1183514,0.99,1095,10276
glove-50-angular,8,100,50,1183514,0.99,
glove-100-angular,8,100,100,1183514,0.99,
glove-200-angular,8,100,200,1183514,0.99,
lastfm-64-dot,8,100,65,292385,0.99,324,6081
mnist-784-euclidean,8,100,784,60000,0.99,139,1893
nytimes-256-angular,8,100,256,290000,0.99,
sift-128-euclidean,8,100,128,1000000,0.99,765,6829

coco-i2i-512-angular,8,200,512,113287,0.99,426,4385
fashion-mnist-784-euclidean,8,200,784,60000,0.99,123,1628
gist-960-euclidean,8,200,960,1000000,0.99,
glove-25-angular,8,200,25,1183514,0.99,855,6710
glove-50-angular,8,200,50,1183514,0.99,
glove-100-angular,8,200,100,1183514,0.99,
glove-200-angular,8,200,200,1183514,0.99,
lastfm-64-dot,8,200,65,292385,0.99,263,4662
mnist-784-euclidean,8,200,784,60000,0.99,129,1887
nytimes-256-angular,8,200,256,290000,0.99,
sift-128-euclidean,8,200,128,1000000,0.99,611,4.996

coco-i2i-512-angular,16,50,512,113287,0.99,643,6723
fashion-mnist-784-euclidean,16,50,784,60000,0.99,115,1580
gist-960-euclidean,16,50,960,1000000,0.9601,3000,12631
glove-25-angular,16,50,25,1183514,0.99,689,4956
glove-50-angular,16,50,50,1183514,0.9177,
glove-100-angular,16,50,100,1183514,0.99,
glove-200-angular,16,50,200,1183514,0.99,
lastfm-64-dot,16,50,65,292385,0.99,503,12006
mnist-784-euclidean,16,50,784,60000,0.99,134,1943
nytimes-256-angular,16,50,256,290000,0.99,
sift-128-euclidean,16,50,128,1000000,0.99,518,4572

coco-i2i-512-angular,16,100,512,113287,0.99,322,3299
fashion-mnist-784-euclidean,16,100,784,60000,0.99,95,1488
gist-960-euclidean,16,100,960,1000000,0.9791,3000,13029
glove-25-angular,16,100,25,1183514,0.99,392,2237
glove-50-angular,16,100,50,1183514,0.9177,
glove-100-angular,16,100,100,1183514,0.99,
glove-200-angular,16,100,200,1183514,0.99,
lastfm-64-dot,16,100,65,292385,0.99,267,4792
mnist-784-euclidean,16,100,784,60000,0.99,105,1740
nytimes-256-angular,16,100,256,290000,0.99,
sift-128-euclidean,16,100,128,1000000,0.99,331,2772

coco-i2i-512-angular,16,200,512,113287,0.99,239,2635
fashion-mnist-784-euclidean,16,200,784,60000,0.99,85,1548
