dataset,construction_time(ms),query_time(ms),recall@100,M,efConstruction,dimensions,no_of_vectors
coco-i2i-512-angular,23736.000,303.000,0.6015,8,100,512,113287
fashion-mnist-784-euclidean,15147.000,413.000,0.6571,8,100,784,60000
gist-960-euclidean,479031.000,98.000,0.2298,8,100,960,1000000
glove-25-angular,94399.000,143.000,0.4568,8,100,25,1183514
glove-50-angular,126322.000,172.000,0.3420,8,100,50,1183514
glove-100-angular,173637.000,207.000,0.2601,8,100,100,1183514
glove-200-angular,263550.000,277.000,0.2176,8,100,200,1183514
lastfm-64-dot,14623.000,571.000,0.5317,8,100,65,292385
mnist-784-euclidean,18471.000,440.000,0.6565,8,100,784,60000
nytimes-256-angular,91627.000,266.000,0.2849,8,100,256,290000
sift-128-euclidean,135957.000,197.000,0.4435,8,100,128,1000000
coco-i2i-512-angular,41280.000,309.000,0.6053,8,200,512,113287
fashion-mnist-784-euclidean,25506.000,432.000,0.6588,8,200,784,60000
gist-960-euclidean,851397.000,100.000,0.2490,8,200,960,1000000
glove-25-angular,152483.000,142.000,0.4617,8,200,25,1183514
glove-50-angular,199899.000,171.000,0.3521,8,200,50,1183514
glove-100-angular,279918.000,211.000,0.2729,8,200,100,1183514
glove-200-angular,418927.000,283.000,0.2271,8,200,200,1183514
lastfm-64-dot,26514.000,573.000,0.5448,8,200,65,292385
mnist-784-euclidean,31601.000,491.000,0.6575,8,200,784,60000
nytimes-256-angular,127867.000,270.000,0.3065,8,200,256,290000
sift-128-euclidean,221895.000,200.000,0.4517,8,200,128,1000000
coco-i2i-512-angular,21911.000,358.000,0.6893,16,100,512,113287
fashion-mnist-784-euclidean,14440.000,499.000,0.7346,16,100,784,60000
gist-960-euclidean,648603.000,132.000,0.3146,16,100,960,1000000
glove-25-angular,94746.000,167.000,0.5635,16,100,25,1183514
glove-50-angular,179094.000,213.000,0.4467,16,100,50,1183514
glove-100-angular,282049.000,294.000,0.3687,16,100,100,1183514
glove-200-angular,505580.000,382.000,0.3213,16,100,200,1183514
lastfm-64-dot,16067.000,640.000,0.5812,16,100,65,292385
mnist-784-euclidean,16761.000,535.000,0.7396,16,100,784,60000
nytimes-256-angular,245419.000,364.000,0.4089,16,100,256,290000
sift-128-euclidean,132140.000,249.000,0.5368,16,100,128,1000000
coco-i2i-512-angular,40386.000,384.000,0.7010,16,200,512,113287
fashion-mnist-784-euclidean,25116.000,535.000,0.7437,16,200,784,60000
gist-960-euclidean,1218476.000,159.000,0.3422,16,200,960,1000000
glove-25-angular,183446.000,176.000,0.5735,16,200,25,1183514
glove-50-angular,355724.000,227.000,0.4565,16,200,50,1183514
glove-100-angular,587414.000,291.000,0.3829,16,200,100,1183514
glove-200-angular,1101400.000,409.000,0.3363,16,200,200,1183514
lastfm-64-dot,27631.000,631.000,0.5968,16,200,65,292385
mnist-784-euclidean,30182.000,552.000,0.7457,16,200,784,60000
nytimes-256-angular,464108.000,391.000,0.4279,16,200,256,290000
sift-128-euclidean,245461.000,258.000,0.5522,16,200,128,1000000
coco-i2i-512-angular,21188.000,406.000,0.7252,32,100,512,113287
fashion-mnist-784-euclidean,25273.000,1516.000,0.7644,32,100,784,60000
gist-960-euclidean,791724.000,183.000,0.3636,32,100,960,1000000
glove-25-angular,86572.000,198.000,0.6262,32,100,25,1183514
glove-50-angular,135166.000,254.000,0.5103,32,100,50,1183514
glove-100-angular,245012.000,348.000,0.4347,32,100,100,1183514
glove-200-angular,492766.000,523.000,0.3838,32,100,200,1183514
lastfm-64-dot,25604.000,640.000,0.6014,32,100,65,292385
mnist-784-euclidean,16657.000,586.000,0.7674,32,100,784,60000
nytimes-256-angular,238317.000,462.000,0.4801,32,100,256,290000
sift-128-euclidean,121375.000,295.000,0.5919,32,100,128,1000000
coco-i2i-512-angular,42181.000,472.000,0.7479,32,200,512,113287
deep-image-96-angular,69208131.000,1380.000,0.5775,32,200,96,9990000
fashion-mnist-784-euclidean,24189.000,598.000,0.7782,32,200,784,60000
gist-960-euclidean,1372561.000,694.000,0.4048,32,200,960,1000000
glove-25-angular,166479.000,198.000,0.6514,32,200,25,1183514
glove-50-angular,299439.000,277.000,0.5339,32,200,50,1183514
glove-100-angular,631538.000,383.000,0.4564,32,200,100,1183514
glove-200-angular,1583277.000,555.000,0.4070,32,200,200,1183514
lastfm-64-dot,37319.000,664.000,0.6206,32,200,65,292385
mnist-784-euclidean,30387.000,627.000,0.7793,32,200,784,60000
nytimes-256-angular,1277953.000,542.000,0.5038,32,200,256,290000
sift-128-euclidean,258675.000,341.000,0.6216,32,200,128,1000000
coco-i2i-512-angular,42530.000,718.000,0.9005,64,100,512,113287
fashion-mnist-784-euclidean,26059.000,1032.000,0.9377,64,100,784,60000
gist-960-euclidean,41611392.000,631.000,0.5504,64,100,960,1000000
glove-25-angular,151162.000,291.000,0.7895,64,100,25,1183514
glove-50-angular,263456.000,399.000,0.6548,64,100,50,1183514
glove-100-angular,2055983.000,570.000,0.5643,64,100,100,1183514
glove-200-angular,9383366.000,892.000,0.5074,64,100,200,1183514
lastfm-64-dot,151681.000,1035.000,0.8503,64,100,65,292385
mnist-784-euclidean,29544.000,1043.000,0.9410,64,100,784,60000
nytimes-256-angular,262562.000,721.000,0.6413,64,100,256,290000
sift-128-euclidean,245384.000,487.000,0.7664,64,100,128,1000000
coco-i2i-512-angular,39914.000,490.000,0.7575,64,200,512,113287
fashion-mnist-784-euclidean,25042.000,679.000,0.7837,64,200,784,60000
gist-960-euclidean,1432890.000,288.000,0.4425,64,200,960,1000000
glove-25-angular,180848.000,225.000,0.6818,64,200,25,1183514
glove-50-angular,292551.000,325.000,0.5780,64,200,50,1183514
glove-100-angular,490765.000,458.000,0.4992,64,200,100,1183514
glove-200-angular,1046931.000,696.000,0.4496,64,200,200,1183514
lastfm-64-dot,106938.000,635.000,0.5967,64,200,65,292385
mnist-784-euclidean,31112.000,670.000,0.7838,64,200,784,60000
nytimes-256-angular,398076.000,719.000,0.5629,64,200,256,290000
sift-128-euclidean,264782.000,354.000,0.6467,64,200,128,1000000
coco-i2i-512-angular,40688.000,1050.000,0.9584,128,100,512,113287
fashion-mnist-784-euclidean,25923.000,1569.000,0.9859,128,100,784,60000
gist-960-euclidean,37510704.000,1094.000,0.6581,128,100,960,1000000
glove-25-angular,185994.000,389.000,0.8844,128,100,25,1183514
glove-50-angular,304982.000,568.000,0.7551,128,100,50,1183514
glove-100-angular,999829.000,819.000,0.6575,128,100,100,1183514
glove-200-angular,13574847.000,1302.000,0.6003,128,100,200,1183514
lastfm-64-dot,239158.000,1384.000,0.9157,128,100,65,292385
mnist-784-euclidean,29579.000,1649.000,0.9817,128,100,784,60000
nytimes-256-angular,163006.000,974.000,0.7165,128,100,256,290000
sift-128-euclidean,283453.000,730.000,0.8744,128,100,128,1000000
coco-i2i-512-angular,82750.000,1018.000,0.9495,128,200,512,113287
fashion-mnist-784-euclidean,46886.000,1469.000,0.9736,128,200,784,60000
