dataset,construction_time(ms),query_time(ms),recall@100,M,efConstruction,dimensions,no_of_vectors
coco-i2i-512-angular,41280,1954,0.9822,8,200,512,113287
fashion-mnist-784-euclidean,25506,2483,0.9966,8,200,784,60000
gist-960-euclidean,851397,578,0.6980,8,200,960,1000000
glove-25-angular,152483,922,0.9241,8,200,25,1183514
glove-50-angular,199899,1045,0.7854,8,200,50,1183514
glove-100-angular,279918,1314,0.6907,8,200,100,1183514
glove-200-angular,418927,1758,0.6255,8,200,200,1183514
lastfm-64-dot,26514,3403,0.9837,8,200,65,292385
mnist-784-euclidean,31601,2766,0.9967,8,200,784,60000
nytimes-256-angular,127867,1754,0.7159,8,200,256,290000
sift-128-euclidean,221895,1296,0.9438,8,200,128,1000000
