dataset,n,dim,k,memory(MB)
coco-i2i-512-angular_train_reduced,113287,100,8,0.65
fashion-mnist-784-euclidean_train_reduced,60000,100,8,0.333
gist-960-euclidean_train_reduced,1000000,100,8,6.6
glove-25-angular_train_reduced,1183514,25,8,8
glove-50-angular_train_reduced,1183514,50,8,8
glove-100-angular_train_reduced,1183514,100,8,8
glove-200-angular_train_reduced,1183514,100,8,8
lastfm-64-dot_train_reduced,292385,65,8,1.8
mnist-784-euclidean_train_reduced,60000,100,8,0.333
nytimes-256-angular_train_reduced,290000,100,8,1.8
sift-128-euclidean_train_reduced,1000000,100,8,6.6
coco-i2i-512-angular_train_reduced,113287,100,16,0.65
fashion-mnist-784-euclidean_train_reduced,60000,100,16,0.333
gist-960-euclidean_train_reduced,1000000,100,16,6.6
glove-25-angular_train_reduced,1183514,25,16,8
glove-50-angular_train_reduced,1183514,50,16,8
glove-100-angular_train_reduced,1183514,100,16,8
glove-200-angular_train_reduced,1183514,100,16,8
lastfm-64-dot_train_reduced,292385,65,16,1.8
mnist-784-euclidean_train_reduced,60000,100,16,0.333
nytimes-256-angular_train_reduced,290000,100,16,1.8
sift-128-euclidean_train_reduced,1000000,100,16,6.6
coco-i2i-512-angular_train_reduced,113287,100,32,0.65
fashion-mnist-784-euclidean_train_reduced,60000,100,32,0.333
gist-960-euclidean_train_reduced,1000000,100,32,6.6
glove-25-angular_train_reduced,1183514,25,32,8
glove-50-angular_train_reduced,1183514,50,32,8
glove-100-angular_train_reduced,1183514,100,32,8
glove-200-angular_train_reduced,1183514,100,32,8
lastfm-64-dot_train_reduced,292385,65,32,1.8
mnist-784-euclidean_train_reduced,60000,100,32,0.333
nytimes-256-angular_train_reduced,290000,100,32,1.8
sift-128-euclidean_train_reduced,1000000,100,32,6.6
coco-i2i-512-angular_train_reduced,113287,100,64,0.65
fashion-mnist-784-euclidean_train_reduced,60000,100,64,0.333
gist-960-euclidean_train_reduced,1000000,100,64,6.6
glove-25-angular_train_reduced,1183514,25,64,8
glove-50-angular_train_reduced,1183514,50,64,8
glove-100-angular_train_reduced,1183514,100,64,8
glove-200-angular_train_reduced,1183514,100,64,8
lastfm-64-dot_train_reduced,292385,65,64,1.8
mnist-784-euclidean_train_reduced,60000,100,64,0.333
nytimes-256-angular_train_reduced,290000,100,64,1.8
sift-128-euclidean_train_reduced,1000000,100,64,6.6
coco-i2i-512-angular_train_reduced,113287,100,128,0.65
fashion-mnist-784-euclidean_train_reduced,60000,100,128,0.333
gist-960-euclidean_train_reduced,1000000,100,128,6.6
glove-25-angular_train_reduced,1183514,25,128,8
glove-50-angular_train_reduced,1183514,50,128,8
glove-100-angular_train_reduced,1183514,100,128,8
glove-200-angular_train_reduced,1183514,100,128,8
lastfm-64-dot_train_reduced,292385,65,128,1.8
mnist-784-euclidean_train_reduced,60000,100,128,0.333
nytimes-256-angular_train_reduced,290000,100,128,1.8
sift-128-euclidean_train_reduced,1000000,100,128,6.6
