dataset,n,dim,k,cluster_to_vector_memory(MB),gmm_memory(KB),vector_to_cluster_memory(MB)
coco-i2i-512-angular_train_reduced,113287,100,8,0.65,6.3,0.886
fashion-mnist-784-euclidean_train_reduced,60000,100,8,0.333,6.3,0.447
gist-960-euclidean_train_reduced,1000000,100,8,6.6,6.3,8.5
glove-25-angular_train_reduced,1183514,25,8,8,1.6,10
glove-50-angular_train_reduced,1183514,50,8,8,3.2,10
glove-100-angular_train_reduced,1183514,100,8,8,6.3,10
glove-200-angular_train_reduced,1183514,100,8,8,6.3,10
lastfm-64-dot_train_reduced,292385,65,8,1.8,4.1,2.4
mnist-784-euclidean_train_reduced,60000,100,8,0.333,6.3,0.447
nytimes-256-angular_train_reduced,290000,100,8,1.8,6.3,2.4
sift-128-euclidean_train_reduced,1000000,100,8,6.6,6.3,8.5
coco-i2i-512-angular_train_reduced,113287,100,16,0.65,13,0.894
fashion-mnist-784-euclidean_train_reduced,60000,100,16,0.333,13,0.447
gist-960-euclidean_train_reduced,1000000,100,16,6.6,13,8.6
glove-25-angular_train_reduced,1183514,25,16,8,3.3,11
glove-50-angular_train_reduced,1183514,50,16,8,6.4,10
glove-100-angular_train_reduced,1183514,100,16,8,13,10
glove-200-angular_train_reduced,1183514,100,16,8,13,11
lastfm-64-dot_train_reduced,292385,65,16,1.8,8.3,2.4
mnist-784-euclidean_train_reduced,60000,100,16,0.333,13,0.447
nytimes-256-angular_train_reduced,290000,100,16,1.8,13,2.5
sift-128-euclidean_train_reduced,1000000,100,16,6.6,13,8.8
coco-i2i-512-angular_train_reduced,113287,100,32,0.65,25,0.939
fashion-mnist-784-euclidean_train_reduced,60000,100,32,0.333,25,0.486
gist-960-euclidean_train_reduced,1000000,100,32,6.6,25,8.5
glove-25-angular_train_reduced,1183514,25,32,8,6.5,11
glove-50-angular_train_reduced,1183514,50,32,8,13,11
glove-100-angular_train_reduced,1183514,100,32,8,25,11
glove-200-angular_train_reduced,1183514,100,32,8,25,11
lastfm-64-dot_train_reduced,292385,65,32,1.8,17,2.4
mnist-784-euclidean_train_reduced,60000,100,32,0.333,25,0.486
nytimes-256-angular_train_reduced,290000,100,32,1.8,25,2.6
sift-128-euclidean_train_reduced,1000000,100,32,6.6,25,9.2
coco-i2i-512-angular_train_reduced,113287,100,64,0.65,51,0.956
fashion-mnist-784-euclidean_train_reduced,60000,100,64,0.333,51,0.494
gist-960-euclidean_train_reduced,1000000,100,64,6.6,51,9.4
glove-25-angular_train_reduced,1183514,25,64,8,13,11
glove-50-angular_train_reduced,1183514,50,64,8,26,11
glove-100-angular_train_reduced,1183514,100,64,8,51,11
glove-200-angular_train_reduced,1183514,100,64,8,51,11
lastfm-64-dot_train_reduced,292385,65,64,1.8,33,2.4
mnist-784-euclidean_train_reduced,60000,100,64,0.333,51,0.493
nytimes-256-angular_train_reduced,290000,100,64,1.8,51,2.6
sift-128-euclidean_train_reduced,1000000,100,64,6.6,51,9.3
coco-i2i-512-angular_train_reduced,113287,100,128,0.65,101,1
fashion-mnist-784-euclidean_train_reduced,60000,100,128,0.333,101,0.495
gist-960-euclidean_train_reduced,1000000,100,128,6.6,101,9.5
glove-25-angular_train_reduced,1183514,25,128,8,26,12
glove-50-angular_train_reduced,1183514,50,128,8,51,12
glove-100-angular_train_reduced,1183514,100,128,8,101,11
glove-200-angular_train_reduced,1183514,100,128,8,101,11
lastfm-64-dot_train_reduced,292385,65,128,1.8,66,2.5
mnist-784-euclidean_train_reduced,60000,100,128,0.333,101,0.483
nytimes-256-angular_train_reduced,290000,100,128,1.8,101,2.7
sift-128-euclidean_train_reduced,1000000,100,128,6.6,101,9.1
