dataset,n,dim,k,memory(KB)
coco-i2i-512-angular_train_reduced,113287,100,8,6.3
fashion-mnist-784-euclidean_train_reduced,60000,100,8,6.3
gist-960-euclidean_train_reduced,1000000,100,8,6.3
glove-25-angular_train_reduced,1183514,25,8,1.6
glove-50-angular_train_reduced,1183514,50,8,3.2
glove-100-angular_train_reduced,1183514,100,8,6.3
glove-200-angular_train_reduced,1183514,100,8,6.3
lastfm-64-dot_train_reduced,292385,65,8,4.1
mnist-784-euclidean_train_reduced,60000,100,8,6.3
nytimes-256-angular_train_reduced,290000,100,8,6.3
sift-128-euclidean_train_reduced,1000000,100,8,6.3
coco-i2i-512-angular_train_reduced,113287,100,16,13
fashion-mnist-784-euclidean_train_reduced,60000,100,16,13
gist-960-euclidean_train_reduced,1000000,100,16,13
glove-25-angular_train_reduced,1183514,25,16,3.3
glove-50-angular_train_reduced,1183514,50,16,6.4
glove-100-angular_train_reduced,1183514,100,16,13
glove-200-angular_train_reduced,1183514,100,16,13
lastfm-64-dot_train_reduced,292385,65,16,8.3
mnist-784-euclidean_train_reduced,60000,100,16,13
nytimes-256-angular_train_reduced,290000,100,16,13
sift-128-euclidean_train_reduced,1000000,100,16,13
coco-i2i-512-angular_train_reduced,113287,100,32,25
fashion-mnist-784-euclidean_train_reduced,60000,100,32,25
gist-960-euclidean_train_reduced,1000000,100,32,25
glove-25-angular_train_reduced,1183514,25,32,6.5
glove-50-angular_train_reduced,1183514,50,32,13
glove-100-angular_train_reduced,1183514,100,32,25
glove-200-angular_train_reduced,1183514,100,32,25
lastfm-64-dot_train_reduced,292385,65,32,17
mnist-784-euclidean_train_reduced,60000,100,32,25
nytimes-256-angular_train_reduced,290000,100,32,25
sift-128-euclidean_train_reduced,1000000,100,32,25
coco-i2i-512-angular_train_reduced,113287,100,64,51
fashion-mnist-784-euclidean_train_reduced,60000,100,64,51
gist-960-euclidean_train_reduced,1000000,100,64,51
glove-25-angular_train_reduced,1183514,25,64,13
glove-50-angular_train_reduced,1183514,50,64,26
glove-100-angular_train_reduced,1183514,100,64,51
glove-200-angular_train_reduced,1183514,100,64,51
lastfm-64-dot_train_reduced,292385,65,64,33
mnist-784-euclidean_train_reduced,60000,100,64,51
nytimes-256-angular_train_reduced,290000,100,64,51
sift-128-euclidean_train_reduced,1000000,100,64,51
coco-i2i-512-angular_train_reduced,113287,100,128,101
fashion-mnist-784-euclidean_train_reduced,60000,100,128,101
gist-960-euclidean_train_reduced,1000000,100,128,101
glove-25-angular_train_reduced,1183514,25,128,26
glove-50-angular_train_reduced,1183514,50,128,51
glove-100-angular_train_reduced,1183514,100,128,101
glove-200-angular_train_reduced,1183514,100,128,101
lastfm-64-dot_train_reduced,292385,65,128,66
mnist-784-euclidean_train_reduced,60000,100,128,101
nytimes-256-angular_train_reduced,290000,100,128,101
sift-128-euclidean_train_reduced,1000000,100,128,101
