dataset,n,dim,k,memory(MB)
coco-i2i-512-angular_train_reduced,113287,100,8,0.886
fashion-mnist-784-euclidean_train_reduced,60000,100,8,0.447
gist-960-euclidean_train_reduced,1000000,100,8,8.5
glove-25-angular_train_reduced,1183514,25,8,10
glove-50-angular_train_reduced,1183514,50,8,10
glove-100-angular_train_reduced,1183514,100,8,10
glove-200-angular_train_reduced,1183514,100,8,10
lastfm-64-dot_train_reduced,292385,65,8,2.4
mnist-784-euclidean_train_reduced,60000,100,8,0.447
nytimes-256-angular_train_reduced,290000,100,8,2.4
sift-128-euclidean_train_reduced,1000000,100,8,8.5
coco-i2i-512-angular_train_reduced,113287,100,16,0.894
fashion-mnist-784-euclidean_train_reduced,60000,100,16,0.447
gist-960-euclidean_train_reduced,1000000,100,16,8.6
glove-25-angular_train_reduced,1183514,25,16,11
glove-50-angular_train_reduced,1183514,50,16,10
glove-100-angular_train_reduced,1183514,100,16,10
glove-200-angular_train_reduced,1183514,100,16,11
lastfm-64-dot_train_reduced,292385,65,16,2.4
mnist-784-euclidean_train_reduced,60000,100,16,0.447
nytimes-256-angular_train_reduced,290000,100,16,2.5
sift-128-euclidean_train_reduced,1000000,100,16,8.8
coco-i2i-512-angular_train_reduced,113287,100,32,0.939
fashion-mnist-784-euclidean_train_reduced,60000,100,32,0.486
gist-960-euclidean_train_reduced,1000000,100,32,8.5
glove-25-angular_train_reduced,1183514,25,32,11
glove-50-angular_train_reduced,1183514,50,32,11
glove-100-angular_train_reduced,1183514,100,32,11
glove-200-angular_train_reduced,1183514,100,32,11
lastfm-64-dot_train_reduced,292385,65,32,2.4
mnist-784-euclidean_train_reduced,60000,100,32,0.486
nytimes-256-angular_train_reduced,290000,100,32,2.6
sift-128-euclidean_train_reduced,1000000,100,32,9.2
coco-i2i-512-angular_train_reduced,113287,100,64,0.956
fashion-mnist-784-euclidean_train_reduced,60000,100,64,0.494
gist-960-euclidean_train_reduced,1000000,100,64,9.4
glove-25-angular_train_reduced,1183514,25,64,11
glove-50-angular_train_reduced,1183514,50,64,11
glove-100-angular_train_reduced,1183514,100,64,11
glove-200-angular_train_reduced,1183514,100,64,11
lastfm-64-dot_train_reduced,292385,65,64,2.4
mnist-784-euclidean_train_reduced,60000,100,64,0.493
nytimes-256-angular_train_reduced,290000,100,64,2.6
sift-128-euclidean_train_reduced,1000000,100,64,9.3
coco-i2i-512-angular_train_reduced,113287,100,128,1
fashion-mnist-784-euclidean_train_reduced,60000,100,128,0.495
gist-960-euclidean_train_reduced,1000000,100,128,9.5
glove-25-angular_train_reduced,1183514,25,128,12
glove-50-angular_train_reduced,1183514,50,128,12
glove-100-angular_train_reduced,1183514,100,128,11
glove-200-angular_train_reduced,1183514,100,128,11
lastfm-64-dot_train_reduced,292385,65,128,2.5
mnist-784-euclidean_train_reduced,60000,100,128,0.483
nytimes-256-angular_train_reduced,290000,100,128,2.7
sift-128-euclidean_train_reduced,1000000,100,128,9.1
