dataset,test_n,dim,n*dim,k,query_time(ms),recall
coco-i2i-512-angular,10000,100,1000000,8,1919439.671,0.609149
coco-i2i-512-angular,10000,100,1000000,16,599907.101,0.588728
coco-i2i-512-angular,10000,100,1000000,32,218927.702,0.579498
coco-i2i-512-angular,10000,100,1000000,64,145612.274,0.568801
coco-i2i-512-angular,10000,100,1000000,128,122390.470,0.532799,0.8,0.5
coco-i2i-512-angular,10000,100,1000000,128,926137.135,0.583047,0.8,0.49
fashion-mnist-784-euclidean,10000,100,1000000,8,
fashion-mnist-784-euclidean,10000,100,1000000,16,1756589.153,0.355331
fashion-mnist-784-euclidean,10000,100,1000000,32,774686.904,0.194401
fashion-mnist-784-euclidean,10000,100,1000000,64,239035.454,0.038347
fashion-mnist-784-euclidean,10000,100,1000000,128,

gist-960-euclidean,x,x,x,128,x,0.097700

glove-25-angular,10000,25,250000,128,1177209.405,0.310344
glove-25-angular,10000,25,250000,64,1031400.566,0.346068
glove-25-angular,10000,25,250000,32,4289595.078,0.361162
glove-25-angular,10000,25,250000,16,33703599.966,0.366300
glove-25-angular,10000,25,250000,8,125326419.349,0.378520

glove-50-angular,10000,50,500000,128,2615625.709,0.386395
glove-50-angular,10000,50,500000,64,3104153.872,0.388633

glove-100-angular,10000,100,1000000,128,2792675.485,0.367724
glove-100-angular,10000,100,1000000,64,24515722.582,0.514876

glove-200-angular,10000,100,1000000,128,2745269.640,0.217098
glove-200-angular,10000,100,1000000,128,2678086.795,0.225882

lastfm-64-dot,50000,100,5000000,128,44600.408,0.040223
lastfm-64-dot,50000,100,5000000,64,147450.251,0.158119

nytimes-256-angular,10000,100,1000000,128,467474.146,0.256644
nytimes-256-angular,10000,100,1000000,128,539573.797,0.254943
